flag,config_hash,model,task,detail
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=0.93 (std=0.005, mean=0.005)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=0.89 (std=0.002, mean=0.002)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=0.65 (std=0.115, mean=0.178)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=1.47 (std=0.023, mean=0.016)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=0.39 (std=0.194, mean=0.492)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=1.17 (std=0.009, mean=0.008)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=0.31 (std=0.199, mean=0.634)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=1.27 (std=0.040, mean=0.032)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=1.15 (std=0.039, mean=0.034)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=0.30 (std=0.225, mean=0.743)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=1.35 (std=0.101, mean=0.075)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=0.37 (std=0.280, mean=0.766)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=1.12 (std=0.083, mean=0.074)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=1.43 (std=0.122, mean=0.085)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=1.11 (std=0.114, mean=0.103)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=1.12 (std=0.098, mean=0.088)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=1.06 (std=0.113, mean=0.107)"
HIGH VAR,f0b8b7c55f92,bdh_cq,propagate,"cv=1.12 (std=0.127, mean=0.114)"
HIGH VAR,2d1c70257fcb,looped_transformer,propagate,"cv=0.41 (std=0.186, mean=0.453)"
HIGH VAR,2d1c70257fcb,looped_transformer,propagate,"cv=0.35 (std=0.163, mean=0.463)"
HIGH VAR,2d1c70257fcb,looped_transformer,propagate,"cv=0.43 (std=0.122, mean=0.284)"
HIGH VAR,2d1c70257fcb,looped_transformer,propagate,"cv=0.37 (std=0.183, mean=0.500)"
HIGH VAR,2d1c70257fcb,looped_transformer,propagate,"cv=0.34 (std=0.171, mean=0.496)"
HIGH VAR,2d1c70257fcb,looped_transformer,propagate,"cv=0.37 (std=0.154, mean=0.412)"
HIGH VAR,2d1c70257fcb,looped_transformer,propagate,"cv=0.32 (std=0.197, mean=0.620)"
HIGH VAR,2d1c70257fcb,looped_transformer,propagate,"cv=0.35 (std=0.191, mean=0.542)"
HIGH VAR,2d1c70257fcb,looped_transformer,propagate,"cv=0.48 (std=0.189, mean=0.396)"
HIGH VAR,2d1c70257fcb,looped_transformer,propagate,"cv=0.40 (std=0.024, mean=0.061)"
HIGH VAR,2d1c70257fcb,looped_transformer,propagate,"cv=1.31 (std=0.007, mean=0.006)"
HIGH VAR,2d1c70257fcb,looped_transformer,propagate,"cv=1.77 (std=0.015, mean=0.008)"
HIGH VAR,2d1c70257fcb,looped_transformer,propagate,"cv=1.33 (std=0.002, mean=0.001)"
HIGH VAR,2d1c70257fcb,looped_transformer,propagate,"cv=2.00 (std=0.002, mean=0.001)"
HIGH VAR,2d1c70257fcb,looped_transformer,propagate,"cv=0.97 (std=0.004, mean=0.004)"
HIGH VAR,2d1c70257fcb,looped_transformer,propagate,"cv=1.22 (std=0.002, mean=0.002)"
HIGH VAR,2d1c70257fcb,looped_transformer,propagate,"cv=1.22 (std=0.001, mean=0.001)"
HIGH VAR,2d1c70257fcb,looped_transformer,propagate,"cv=1.02 (std=0.004, mean=0.004)"
HIGH VAR,2d1c70257fcb,looped_transformer,propagate,"cv=1.25 (std=0.003, mean=0.003)"
HIGH VAR,2d1c70257fcb,looped_transformer,propagate,"cv=0.60 (std=0.003, mean=0.004)"
HIGH VAR,2d1c70257fcb,looped_transformer,propagate,"cv=2.00 (std=0.001, mean=0.000)"
HIGH VAR,2d1c70257fcb,looped_transformer,propagate,"cv=0.97 (std=0.003, mean=0.003)"
HIGH VAR,2d1c70257fcb,looped_transformer,propagate,"cv=0.89 (std=0.003, mean=0.004)"
HIGH VAR,2d1c70257fcb,looped_transformer,propagate,"cv=0.73 (std=0.003, mean=0.004)"
HIGH VAR,2d1c70257fcb,looped_transformer,propagate,"cv=0.86 (std=0.004, mean=0.005)"
HIGH VAR,2d1c70257fcb,looped_transformer,propagate,"cv=1.18 (std=0.028, mean=0.024)"
HIGH VAR,2d1c70257fcb,looped_transformer,propagate,"cv=0.53 (std=0.113, mean=0.215)"
HIGH VAR,2d1c70257fcb,looped_transformer,propagate,"cv=1.18 (std=0.131, mean=0.111)"
HIGH VAR,2d1c70257fcb,looped_transformer,propagate,"cv=0.30 (std=0.038, mean=0.126)"
HIGH VAR,2d1c70257fcb,looped_transformer,propagate,"cv=0.66 (std=0.016, mean=0.024)"
HIGH VAR,2d1c70257fcb,looped_transformer,propagate,"cv=0.43 (std=0.029, mean=0.066)"
HIGH VAR,2d1c70257fcb,looped_transformer,propagate,"cv=1.05 (std=0.011, mean=0.010)"
HIGH VAR,2d1c70257fcb,looped_transformer,propagate,"cv=0.92 (std=0.072, mean=0.078)"
HIGH VAR,2d1c70257fcb,looped_transformer,propagate,"cv=0.72 (std=0.068, mean=0.094)"
HIGH VAR,2d1c70257fcb,looped_transformer,propagate,"cv=1.01 (std=0.101, mean=0.100)"
HIGH VAR,2d1c70257fcb,looped_transformer,propagate,"cv=0.60 (std=0.031, mean=0.051)"
HIGH VAR,2d1c70257fcb,looped_transformer,propagate,"cv=1.46 (std=0.002, mean=0.002)"
HIGH VAR,2d1c70257fcb,looped_transformer,propagate,"cv=0.67 (std=0.046, mean=0.068)"
HIGH VAR,2d1c70257fcb,looped_transformer,propagate,"cv=0.49 (std=0.028, mean=0.057)"
HIGH VAR,2d1c70257fcb,looped_transformer,propagate,"cv=0.35 (std=0.025, mean=0.071)"
HIGH VAR,2d1c70257fcb,looped_transformer,propagate,"cv=0.34 (std=0.015, mean=0.044)"
HIGH VAR,2d1c70257fcb,looped_transformer,propagate,"cv=0.37 (std=0.026, mean=0.070)"
HIGH VAR,2d1c70257fcb,looped_transformer,propagate,"cv=0.54 (std=0.036, mean=0.067)"
HIGH VAR,2d1c70257fcb,looped_transformer,propagate,"cv=0.62 (std=0.045, mean=0.073)"
HIGH VAR,2d1c70257fcb,looped_transformer,propagate,"cv=0.70 (std=0.045, mean=0.064)"
