config_hash,model,task,step,reasoning_steps,split,difficulty,n_seeds,provisional,dev,diverged_k,exact_match_mean,exact_match_std,exact_match_min,exact_match_max,exact_match_values,exact_match_ci95_lo,exact_match_ci95_hi,exact_match_mean_incl_failed,token_acc_mean,params
76dd99c62a3e,bdh,compose,27500,16,interp,"{""depth"": 1}",3,True,False,0,0.126,0.0043204937989385775,0.122,0.132,"[0.122, 0.132, 0.124]",0.122,0.132,0.126,0.126,10010880
76dd99c62a3e,bdh,compose,27500,16,interp,"{""depth"": 2}",3,True,False,0,0.07133333333333333,0.0041096093353126485,0.066,0.076,"[0.072, 0.076, 0.066]",0.066,0.076,0.07133333333333333,0.07133333333333333,10010880
76dd99c62a3e,bdh,compose,30000,16,interp,"{""depth"": 1}",3,True,False,0,0.10999999999999999,0.009092121131323901,0.098,0.12,"[0.112, 0.12, 0.098]",0.09800000000000002,0.12,0.10999999999999999,0.10999999999999999,10010880
76dd99c62a3e,bdh,compose,30000,16,interp,"{""depth"": 2}",3,True,False,0,0.07933333333333333,0.004714045207910314,0.076,0.086,"[0.076, 0.086, 0.076]",0.076,0.08600000000000001,0.07933333333333333,0.07933333333333333,10010880
76dd99c62a3e,bdh,compose,32500,16,interp,"{""depth"": 1}",3,True,False,0,0.122,0.0043204937989385775,0.118,0.128,"[0.128, 0.12, 0.118]",0.118,0.128,0.122,0.122,10010880
76dd99c62a3e,bdh,compose,32500,16,interp,"{""depth"": 2}",3,True,False,0,0.07733333333333334,0.005249338582674539,0.07,0.082,"[0.082, 0.08, 0.07]",0.07,0.082,0.07733333333333334,0.07733333333333334,10010880
76dd99c62a3e,bdh,compose,35000,16,interp,"{""depth"": 1}",3,True,False,0,0.12666666666666668,0.003399346342395193,0.122,0.13,"[0.122, 0.128, 0.13]",0.122,0.13,0.12666666666666668,0.12666666666666668,10010880
76dd99c62a3e,bdh,compose,35000,16,interp,"{""depth"": 2}",3,True,False,0,0.074,0.008164965809277263,0.064,0.084,"[0.074, 0.084, 0.064]",0.064,0.084,0.074,0.074,10010880
76dd99c62a3e,bdh,compose,37500,16,interp,"{""depth"": 1}",3,True,False,0,0.124,0.005656854249492379,0.116,0.128,"[0.116, 0.128, 0.128]",0.116,0.128,0.124,0.124,10010880
76dd99c62a3e,bdh,compose,37500,16,interp,"{""depth"": 2}",3,True,False,0,0.07866666666666666,0.011115554667022043,0.068,0.094,"[0.068, 0.094, 0.074]",0.068,0.09400000000000001,0.07866666666666666,0.07866666666666666,10010880
76dd99c62a3e,bdh,compose,40000,16,interp,"{""depth"": 1}",3,True,False,0,0.12333333333333334,0.008055363982396382,0.112,0.13,"[0.112, 0.128, 0.13]",0.112,0.13,0.12333333333333334,0.12333333333333334,10010880
76dd99c62a3e,bdh,compose,40000,16,interp,"{""depth"": 2}",3,True,False,0,0.07733333333333332,0.008993825042154692,0.066,0.088,"[0.078, 0.088, 0.066]",0.066,0.08800000000000001,0.07733333333333332,0.07733333333333332,10010880
76dd99c62a3e,bdh,compose,40000,32,interp,"{""depth"": 1}",3,True,False,0,0.12333333333333334,0.008055363982396382,0.112,0.13,"[0.112, 0.128, 0.13]",0.112,0.13,0.12333333333333334,0.12333333333333334,10010880
76dd99c62a3e,bdh,compose,40000,32,interp,"{""depth"": 2}",3,True,False,0,0.07733333333333332,0.008993825042154692,0.066,0.088,"[0.078, 0.088, 0.066]",0.066,0.08800000000000001,0.07733333333333332,0.07733333333333332,10010880
76dd99c62a3e,bdh,compose,2500,1,mild,"{""depth"": 3}",3,True,False,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,10010880
76dd99c62a3e,bdh,compose,2500,1,mild,"{""depth"": 4}",3,True,False,0,0.0,0.0,0.0,0.0,"[0.0, 0.0, 0.0]",0.0,0.0,0.0,0.0,10010880
76dd99c62a3e,bdh,compose,5000,1,mild,"{""depth"": 3}",3,True,False,0,0.004,0.00282842712474619,0.0,0.006,"[0.0, 0.006, 0.006]",0.0,0.006000000000000001,0.004,0.004,10010880
76dd99c62a3e,bdh,compose,5000,1,mild,"{""depth"": 4}",3,True,False,0,0.0026666666666666666,0.0024944382578492943,0.0,0.006,"[0.002, 0.006, 0.0]",0.0,0.006000000000000001,0.0026666666666666666,0.0026666666666666666,10010880
76dd99c62a3e,bdh,compose,7500,1,mild,"{""depth"": 3}",3,True,False,0,0.024000000000000004,0.004320493798938573,0.02,0.03,"[0.02, 0.03, 0.022]",0.02,0.03,0.024000000000000004,0.024000000000000004,10010880
76dd99c62a3e,bdh,compose,7500,1,mild,"{""depth"": 4}",3,True,False,0,0.014666666666666668,0.009428090415820633,0.008,0.028,"[0.008, 0.028, 0.008]",0.008,0.028,0.014666666666666668,0.014666666666666668,10010880
76dd99c62a3e,bdh,compose,10000,1,mild,"{""depth"": 3}",3,True,False,0,0.029333333333333336,0.008219218670625302,0.02,0.04,"[0.028, 0.04, 0.02]",0.02,0.04,0.029333333333333336,0.029333333333333336,10010880
76dd99c62a3e,bdh,compose,10000,1,mild,"{""depth"": 4}",3,True,False,0,0.023999999999999997,0.004320493798938573,0.02,0.03,"[0.022, 0.03, 0.02]",0.02,0.03,0.023999999999999997,0.023999999999999997,10010880
76dd99c62a3e,bdh,compose,12500,1,mild,"{""depth"": 3}",3,True,False,0,0.035333333333333335,0.008055363982396382,0.024,0.042,"[0.042, 0.024, 0.04]",0.024000000000000004,0.042,0.035333333333333335,0.035333333333333335,10010880
