model,task,split,difficulty,reasoning_steps,n_seeds,cos_last,cos_min_after_first,token_acc,exact_match
bdh,compose,strong,"{""depth"": 6}",1,3,0.6939736604690552,0.6939736604690552,0.029333333333333333,0.029333333333333333
bdh,compose,strong,"{""depth"": 6}",2,3,0.6939736604690552,0.6939736604690552,0.029333333333333333,0.029333333333333333
bdh,compose,strong,"{""depth"": 6}",4,3,0.6939736604690552,0.6939736604690552,0.029333333333333333,0.029333333333333333
bdh,compose,strong,"{""depth"": 6}",8,3,0.6939406873037418,0.6939406873037418,0.029333333333333333,0.029333333333333333
bdh,compose,strong,"{""depth"": 6}",16,3,0.6939736604690552,0.6939736604690552,0.029333333333333333,0.029333333333333333
bdh,compose,strong,"{""depth"": 6}",32,3,0.6939406873037418,0.6939406873037418,0.029333333333333333,0.029333333333333333
bdh,compose,strong,"{""depth"": 8}",1,3,0.6675052816669146,0.6675052816669146,0.014666666666666666,0.014666666666666666
bdh,compose,strong,"{""depth"": 8}",2,3,0.6675052816669146,0.6675052816669146,0.014666666666666666,0.014666666666666666
bdh,compose,strong,"{""depth"": 8}",4,3,0.6675052816669146,0.6675052816669146,0.014666666666666666,0.014666666666666666
bdh,compose,strong,"{""depth"": 8}",8,3,0.6680117081850767,0.6680117081850767,0.014666666666666666,0.014666666666666666
bdh,compose,strong,"{""depth"": 8}",16,3,0.6675052816669146,0.6675052816669146,0.014666666666666666,0.014666666666666666
bdh,compose,strong,"{""depth"": 8}",32,3,0.6680117081850767,0.6680117081850767,0.014666666666666666,0.014666666666666666
bdh_cq,compose,interp,"{""depth"": 1}",1,3,0.4972130407889684,0.4972130407889684,0.106,0.106
bdh_cq,compose,interp,"{""depth"": 1}",2,3,0.981611949702104,0.981611949702104,0.10866666666666665,0.10866666666666665
bdh_cq,compose,interp,"{""depth"": 1}",4,3,0.9897350544730822,0.981611949702104,0.104,0.104
bdh_cq,compose,interp,"{""depth"": 1}",8,3,0.9447382731984059,0.9294346937288841,0.08733333333333332,0.08733333333333332
bdh_cq,compose,interp,"{""depth"": 1}",16,3,0.9612365712722143,0.9096157898505529,0.004,0.004
bdh_cq,compose,interp,"{""depth"": 1}",32,3,0.9716651557634274,0.9256174676120281,0.0,0.0
bdh_cq,compose,interp,"{""depth"": 2}",1,3,0.5080860828359922,0.5080860828359922,0.066,0.066
bdh_cq,compose,interp,"{""depth"": 2}",2,3,0.9860599214831988,0.9860599214831988,0.06466666666666666,0.06466666666666666
bdh_cq,compose,interp,"{""depth"": 2}",4,3,0.9933241605758667,0.9860599214831988,0.064,0.064
bdh_cq,compose,interp,"{""depth"": 2}",8,3,0.9838044351587693,0.8969322467843691,0.06799999999999999,0.06799999999999999
bdh_cq,compose,interp,"{""depth"": 2}",16,3,0.9404953370491663,0.8758257900675138,0.007333333333333334,0.007333333333333334
bdh_cq,compose,interp,"{""depth"": 2}",32,3,0.9638769794255495,0.8969322467843691,0.0,0.0
bdh_cq,compose,mild,"{""depth"": 3}",1,3,0.5183921406666437,0.5183921406666437,0.05333333333333334,0.05333333333333334
bdh_cq,compose,mild,"{""depth"": 3}",2,3,0.984161247809728,0.984161247809728,0.054,0.054
bdh_cq,compose,mild,"{""depth"": 3}",4,3,0.991473950445652,0.9835024327039719,0.05666666666666667,0.05666666666666667
bdh_cq,compose,mild,"{""depth"": 3}",8,3,0.9809957109391689,0.8383285055557886,0.036,0.036
bdh_cq,compose,mild,"{""depth"": 3}",16,3,0.9578814630707105,0.8164163045585155,0.007333333333333333,0.007333333333333333
bdh_cq,compose,mild,"{""depth"": 3}",32,3,0.9856677707284689,0.8383285055557886,0.0013333333333333333,0.0013333333333333333
bdh_cq,compose,mild,"{""depth"": 4}",1,3,0.5848470193644365,0.5848470193644365,0.02733333333333333,0.02733333333333333
bdh_cq,compose,mild,"{""depth"": 4}",2,3,0.9785181979338328,0.9785181979338328,0.030666666666666665,0.030666666666666665
bdh_cq,compose,mild,"{""depth"": 4}",4,3,0.9948991040388743,0.9785181979338328,0.03,0.03
bdh_cq,compose,mild,"{""depth"": 4}",8,3,0.9868288530657688,0.9626640571902195,0.02733333333333333,0.02733333333333333
bdh_cq,compose,mild,"{""depth"": 4}",16,3,0.9749681974450747,0.9286394293109576,0.005333333333333333,0.005333333333333333
bdh_cq,compose,mild,"{""depth"": 4}",32,3,0.9674316023786863,0.9386319164186716,0.0006666666666666666,0.0006666666666666666
bdh_cq,compose,strong,"{""depth"": 6}",1,3,0.4869839437305927,0.4869839437305927,0.01333333333333333,0.01333333333333333
bdh_cq,compose,strong,"{""depth"": 6}",2,3,0.9805159742633501,0.9805159742633501,0.018,0.018
bdh_cq,compose,strong,"{""depth"": 6}",4,3,0.9954250355561575,0.9805159742633501,0.01933333333333333,0.01933333333333333
bdh_cq,compose,strong,"{""depth"": 6}",8,3,0.949683882916967,0.9350930495808522,0.017333333333333333,0.017333333333333333
bdh_cq,compose,strong,"{""depth"": 6}",16,3,0.947440855205059,0.9249943569302559,0.0026666666666666666,0.0026666666666666666
bdh_cq,compose,strong,"{""depth"": 6}",32,3,0.954402431845665,0.8915248985091845,0.0,0.0
bdh_cq,compose,strong,"{""depth"": 8}",1,3,0.6826611670355002,0.6826611670355002,0.018,0.018
bdh_cq,compose,strong,"{""depth"": 8}",2,3,0.967202678322792,0.967202678322792,0.018,0.018
bdh_cq,compose,strong,"{""depth"": 8}",4,3,0.9652784888943037,0.942231722176075,0.017333333333333333,0.017333333333333333
bdh_cq,compose,strong,"{""depth"": 8}",8,3,0.9715624172240496,0.9327539509783188,0.011999999999999999,0.011999999999999999
bdh_cq,compose,strong,"{""depth"": 8}",16,3,0.9414126848181089,0.9046217948198318,0.006000000000000001,0.006000000000000001
bdh_cq,compose,strong,"{""depth"": 8}",32,3,0.9655013636996349,0.9136188129583994,0.0013333333333333333,0.0013333333333333333
looped_transformer,compose,interp,"{""depth"": 1}",1,3,-0.28883627988398075,-0.28883627988398075,0.0006666666666666666,0.0006666666666666666
looped_transformer,compose,interp,"{""depth"": 1}",2,3,0.9982389907042185,0.9982389907042185,0.0006666666666666666,0.0006666666666666666
looped_transformer,compose,interp,"{""depth"": 1}",4,3,0.999337779978911,0.9982389907042185,0.0,0.0
looped_transformer,compose,interp,"{""depth"": 1}",8,3,0.9997411432365576,0.9983560051769018,0.0006666666666666666,0.0006666666666666666
looped_transformer,compose,interp,"{""depth"": 1}",16,3,0.9999301756421725,0.9982389907042185,0.0,0.0
looped_transformer,compose,interp,"{""depth"": 1}",32,3,0.999986949066321,0.9983560051769018,0.0,0.0
looped_transformer,compose,interp,"{""depth"": 2}",1,3,-0.2745400319496791,-0.2745400319496791,0.0006666666666666666,0.0006666666666666666
looped_transformer,compose,interp,"{""depth"": 2}",2,3,0.9985455200076103,0.9985455200076103,0.0,0.0
looped_transformer,compose,interp,"{""depth"": 2}",4,3,0.9993109131852785,0.9985455200076103,0.0006666666666666666,0.0006666666666666666
looped_transformer,compose,interp,"{""depth"": 2}",8,3,0.9997288013497988,0.9985414780676365,0.0,0.0
looped_transformer,compose,interp,"{""depth"": 2}",16,3,0.9999146237969398,0.9985455200076103,0.0006666666666666666,0.0006666666666666666
looped_transformer,compose,interp,"{""depth"": 2}",32,3,0.9999817951271931,0.9985414780676365,0.0013333333333333333,0.0013333333333333333
looped_transformer,compose,mild,"{""depth"": 3}",1,3,-0.2557288973281781,-0.2557288973281781,0.0,0.0
looped_transformer,compose,mild,"{""depth"": 3}",2,3,0.9987137739857038,0.9987137739857038,0.0006666666666666666,0.0006666666666666666
looped_transformer,compose,mild,"{""depth"": 3}",4,3,0.9994552036126455,0.9987137739857038,0.0006666666666666666,0.0006666666666666666
looped_transformer,compose,mild,"{""depth"": 3}",8,3,0.9997213259339333,0.9986068562914928,0.0006666666666666666,0.0006666666666666666
looped_transformer,compose,mild,"{""depth"": 3}",16,3,0.9999129474163055,0.9987137739857038,0.0013333333333333333,0.0013333333333333333
looped_transformer,compose,mild,"{""depth"": 3}",32,3,0.9999795506397883,0.9986068562914928,0.002,0.002
looped_transformer,compose,mild,"{""depth"": 4}",1,3,-0.25328531488776207,-0.25328531488776207,0.0,0.0
looped_transformer,compose,mild,"{""depth"": 4}",2,3,0.9987730657060941,0.9987730657060941,0.0,0.0
looped_transformer,compose,mild,"{""depth"": 4}",4,3,0.999433808028698,0.9987730657060941,0.0,0.0
looped_transformer,compose,mild,"{""depth"": 4}",8,3,0.9997359085828066,0.9987879370649656,0.0,0.0
looped_transformer,compose,mild,"{""depth"": 4}",16,3,0.9998911072810491,0.9987730657060941,0.0,0.0
looped_transformer,compose,mild,"{""depth"": 4}",32,3,0.9999786602954069,0.9987879370649656,0.0,0.0
looped_transformer,compose,strong,"{""depth"": 6}",1,3,-0.24931210031112036,-0.24931210031112036,0.0,0.0
looped_transformer,compose,strong,"{""depth"": 6}",2,3,0.9986854369441668,0.9986854369441668,0.0,0.0
looped_transformer,compose,strong,"{""depth"": 6}",4,3,0.9994741727908453,0.9986854369441668,0.0,0.0
looped_transformer,compose,strong,"{""depth"": 6}",8,3,0.999752310415109,0.9988484277079502,0.0,0.0
looped_transformer,compose,strong,"{""depth"": 6}",16,3,0.9999015604456266,0.9986854369441668,0.0013333333333333333,0.0013333333333333333
looped_transformer,compose,strong,"{""depth"": 6}",32,3,0.9999740043034157,0.9988484277079502,0.0006666666666666666,0.0006666666666666666
looped_transformer,compose,strong,"{""depth"": 8}",1,3,-0.24684281088411808,-0.24684281088411808,0.0,0.0
looped_transformer,compose,strong,"{""depth"": 8}",2,3,0.9987566371758779,0.9987566371758779,0.0,0.0
looped_transformer,compose,strong,"{""depth"": 8}",4,3,0.9994648694992065,0.9987566371758779,0.0,0.0
looped_transformer,compose,strong,"{""depth"": 8}",8,3,0.9997362655897936,0.9987866369386514,0.0,0.0
looped_transformer,compose,strong,"{""depth"": 8}",16,3,0.9998896593848864,0.9987566371758779,0.0,0.0
looped_transformer,compose,strong,"{""depth"": 8}",32,3,0.9999717796842257,0.9987866369386514,0.0,0.0
