model,task,split,difficulty,reasoning_steps,n_seeds,cos_last,cos_min_after_first,token_acc,exact_match
looped_transformer,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",1,3,0.4801964412132899,0.4801964412132899,1.0,1.0
looped_transformer,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",2,3,0.9315174197157224,0.9315174197157224,1.0,1.0
looped_transformer,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",4,3,0.9912253717581431,0.9315174197157224,1.0,1.0
looped_transformer,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",8,3,0.9987636860460043,0.9283987277497848,0.9979979984156482,0.9769769769769768
looped_transformer,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",16,3,0.9997989485661188,0.9315174197157224,0.9778945626797261,0.8498498498498499
looped_transformer,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",32,3,0.9999663792550564,0.9283987277497848,0.9280113493119394,0.5025025025025025
looped_transformer,propagate,interp,"{""dim"": 1, ""distance"": 4, ""length"": 12, ""n_sources"": 1}",1,3,0.4836830149094264,0.4836830149094264,1.0,1.0
looped_transformer,propagate,interp,"{""dim"": 1, ""distance"": 4, ""length"": 12, ""n_sources"": 1}",2,3,0.9305936644474665,0.9305936644474665,1.0,1.0
looped_transformer,propagate,interp,"{""dim"": 1, ""distance"": 4, ""length"": 12, ""n_sources"": 1}",4,3,0.9908811276157697,0.9305936644474665,1.0,1.0
looped_transformer,propagate,interp,"{""dim"": 1, ""distance"": 4, ""length"": 12, ""n_sources"": 1}",8,3,0.9987697328130404,0.9291563127189875,0.9965799139426634,0.9629629629629631
looped_transformer,propagate,interp,"{""dim"": 1, ""distance"": 4, ""length"": 12, ""n_sources"": 1}",16,3,0.999809019267559,0.9305936644474665,0.9542042061731264,0.7607607607607608
looped_transformer,propagate,interp,"{""dim"": 1, ""distance"": 4, ""length"": 12, ""n_sources"": 1}",32,3,0.9999657720327377,0.9291563127189875,0.8828828861345878,0.36936936936936937
looped_transformer,propagate,mild,"{""dim"": 1, ""distance"": 6, ""length"": 12, ""n_sources"": 1}",1,3,0.47688064848383266,0.47688064848383266,0.8994444557030996,0.006666666666666667
looped_transformer,propagate,mild,"{""dim"": 1, ""distance"": 6, ""length"": 12, ""n_sources"": 1}",2,3,0.9308570052186648,0.9308570052186648,0.9047222342491149,0.036
looped_transformer,propagate,mild,"{""dim"": 1, ""distance"": 6, ""length"": 12, ""n_sources"": 1}",4,3,0.9907237663865089,0.9308570052186648,0.9089444572130839,0.05733333333333334
looped_transformer,propagate,mild,"{""dim"": 1, ""distance"": 6, ""length"": 12, ""n_sources"": 1}",8,3,0.9987732321023941,0.9293292133758465,0.9030000100533168,0.076
looped_transformer,propagate,mild,"{""dim"": 1, ""distance"": 6, ""length"": 12, ""n_sources"": 1}",16,3,0.9998090664545695,0.9308570052186648,0.850111117263635,0.10999999999999999
looped_transformer,propagate,mild,"{""dim"": 1, ""distance"": 6, ""length"": 12, ""n_sources"": 1}",32,3,0.9999658639232317,0.9293292133758465,0.7680555574695269,0.038
looped_transformer,propagate,mild,"{""dim"": 1, ""distance"": 8, ""length"": 12, ""n_sources"": 1}",1,3,0.4731030911207199,0.4731030911207199,0.7049444502592087,0.0
looped_transformer,propagate,mild,"{""dim"": 1, ""distance"": 8, ""length"": 12, ""n_sources"": 1}",2,3,0.9304936950405439,0.9304936950405439,0.7198333376248677,0.0
looped_transformer,propagate,mild,"{""dim"": 1, ""distance"": 8, ""length"": 12, ""n_sources"": 1}",4,3,0.9907394746939341,0.9304936950405439,0.7282777806520461,0.0
looped_transformer,propagate,mild,"{""dim"": 1, ""distance"": 8, ""length"": 12, ""n_sources"": 1}",8,3,0.99881428728501,0.9308789341400067,0.7167222256064415,0.0
looped_transformer,propagate,mild,"{""dim"": 1, ""distance"": 8, ""length"": 12, ""n_sources"": 1}",16,3,0.9997976074616114,0.9304936950405439,0.6426111134092013,0.0
looped_transformer,propagate,mild,"{""dim"": 1, ""distance"": 8, ""length"": 12, ""n_sources"": 1}",32,3,0.9999669392903646,0.9308789341400067,0.5637777797778447,0.0
looped_transformer,propagate,strong,"{""dim"": 1, ""distance"": 12, ""length"": 48, ""n_sources"": 1}",1,3,0.6296799778938293,0.6296799778938293,0.6344999991854031,0.0
looped_transformer,propagate,strong,"{""dim"": 1, ""distance"": 12, ""length"": 48, ""n_sources"": 1}",2,3,0.9619665121038755,0.9619665121038755,0.6549722223480542,0.0
looped_transformer,propagate,strong,"{""dim"": 1, ""distance"": 12, ""length"": 48, ""n_sources"": 1}",4,3,0.9954260687033335,0.9619665121038755,0.7178472224871317,0.0
looped_transformer,propagate,strong,"{""dim"": 1, ""distance"": 12, ""length"": 48, ""n_sources"": 1}",8,3,0.9992844841132561,0.9638725475718578,0.7372638876835506,0.0
looped_transformer,propagate,strong,"{""dim"": 1, ""distance"": 12, ""length"": 48, ""n_sources"": 1}",16,3,0.9998853529493014,0.9619665121038755,0.7430138868093491,0.0
looped_transformer,propagate,strong,"{""dim"": 1, ""distance"": 12, ""length"": 48, ""n_sources"": 1}",32,3,0.9999818969517946,0.9638725475718578,0.7458888861735661,0.0
looped_transformer,propagate,strong,"{""dim"": 1, ""distance"": 24, ""length"": 48, ""n_sources"": 1}",1,3,0.6381154755751292,0.6381154755751292,0.6463888873457909,0.0
looped_transformer,propagate,strong,"{""dim"": 1, ""distance"": 24, ""length"": 48, ""n_sources"": 1}",2,3,0.9653093467156092,0.9653093467156092,0.6606944443980852,0.0
looped_transformer,propagate,strong,"{""dim"": 1, ""distance"": 24, ""length"": 48, ""n_sources"": 1}",4,3,0.9955838322639465,0.9653093467156092,0.6934166669249535,0.0
looped_transformer,propagate,strong,"{""dim"": 1, ""distance"": 24, ""length"": 48, ""n_sources"": 1}",8,3,0.9992903818686804,0.9647488134602705,0.687777777214845,0.0
looped_transformer,propagate,strong,"{""dim"": 1, ""distance"": 24, ""length"": 48, ""n_sources"": 1}",16,3,0.9998796060681343,0.9653093467156092,0.6635694435238838,0.0
looped_transformer,propagate,strong,"{""dim"": 1, ""distance"": 24, ""length"": 48, ""n_sources"": 1}",32,3,0.9999817945063114,0.9647488134602705,0.6513750006357829,0.0
