model,arm,config_hash,recurrence_kind,task,split,difficulty,reasoning_steps,step,n_seeds,cos_last,cos_last_vs_seed,cos_min_after_first,token_acc,exact_match
bdh,bdh/plain,76dd99c62a3e,plain,compose,interp,"{""depth"": 1}",1,22500,3,0.6347052802642187,0.0,0.6347052802642187,0.128,0.128
bdh,bdh/plain,76dd99c62a3e,plain,compose,interp,"{""depth"": 1}",1,25000,3,0.6289477124810219,0.0,0.6289477124810219,0.13,0.13
bdh,bdh/plain,76dd99c62a3e,plain,compose,interp,"{""depth"": 1}",1,27500,3,0.6354251330097517,0.0,0.6354251330097517,0.126,0.126
bdh,bdh/plain,76dd99c62a3e,plain,compose,interp,"{""depth"": 1}",1,30000,3,0.6281415248910586,0.0,0.6281415248910586,0.10999999999999999,0.10999999999999999
bdh,bdh/plain,76dd99c62a3e,plain,compose,interp,"{""depth"": 1}",1,32500,3,0.6257065360744795,0.0,0.6257065360744795,0.122,0.122
bdh,bdh/plain,76dd99c62a3e,plain,compose,interp,"{""depth"": 1}",1,35000,3,0.6266211246450742,0.0,0.6266211246450742,0.12666666666666668,0.12666666666666668
bdh,bdh/plain,76dd99c62a3e,plain,compose,interp,"{""depth"": 1}",1,37500,3,0.6273416057229042,0.0,0.6273416057229042,0.124,0.124
bdh,bdh/plain,76dd99c62a3e,plain,compose,interp,"{""depth"": 1}",1,40000,3,0.6262616614500681,0.0,0.6262616614500681,0.12333333333333334,0.12333333333333334
bdh,bdh/plain,76dd99c62a3e,plain,compose,interp,"{""depth"": 1}",2,40000,3,0.6262616614500681,0.0,0.6262616614500681,0.12333333333333334,0.12333333333333334
bdh,bdh/plain,76dd99c62a3e,plain,compose,interp,"{""depth"": 1}",4,2500,3,0.7890762388706207,0.0,0.7890762388706207,0.0006666666666666666,0.0006666666666666666
bdh,bdh/plain,76dd99c62a3e,plain,compose,interp,"{""depth"": 1}",4,5000,3,0.8103076989452044,0.0,0.8103076989452044,0.014666666666666666,0.014666666666666666
bdh,bdh/plain,76dd99c62a3e,plain,compose,interp,"{""depth"": 1}",4,7500,3,0.8641031136115392,0.0,0.8641031136115392,0.07933333333333333,0.07933333333333333
bdh,bdh/plain,76dd99c62a3e,plain,compose,interp,"{""depth"": 1}",4,10000,3,0.8162397121389707,0.0,0.8162397121389707,0.10666666666666667,0.10666666666666667
bdh,bdh/plain,76dd99c62a3e,plain,compose,interp,"{""depth"": 1}",4,12500,3,0.7477705428997675,0.0,0.7477705428997675,0.10866666666666665,0.10866666666666665
bdh,bdh/plain,76dd99c62a3e,plain,compose,interp,"{""depth"": 1}",4,15000,3,0.671786886950334,0.0,0.671786886950334,0.122,0.122
bdh,bdh/plain,76dd99c62a3e,plain,compose,interp,"{""depth"": 1}",4,17500,3,0.6473064000407854,0.0,0.6473064000407854,0.12133333333333333,0.12133333333333333
bdh,bdh/plain,76dd99c62a3e,plain,compose,interp,"{""depth"": 1}",4,20000,3,0.630707174539566,0.0,0.630707174539566,0.11466666666666665,0.11466666666666665
bdh,bdh/plain,76dd99c62a3e,plain,compose,interp,"{""depth"": 1}",4,22500,3,0.6347052802642187,0.0,0.6347052802642187,0.128,0.128
bdh,bdh/plain,76dd99c62a3e,plain,compose,interp,"{""depth"": 1}",4,25000,3,0.6289477124810219,0.0,0.6289477124810219,0.13,0.13
bdh,bdh/plain,76dd99c62a3e,plain,compose,interp,"{""depth"": 1}",4,27500,3,0.6354251330097517,0.0,0.6354251330097517,0.126,0.126
bdh,bdh/plain,76dd99c62a3e,plain,compose,interp,"{""depth"": 1}",4,30000,3,0.6281415248910586,0.0,0.6281415248910586,0.10999999999999999,0.10999999999999999
bdh,bdh/plain,76dd99c62a3e,plain,compose,interp,"{""depth"": 1}",4,32500,3,0.6257065360744795,0.0,0.6257065360744795,0.122,0.122
bdh,bdh/plain,76dd99c62a3e,plain,compose,interp,"{""depth"": 1}",4,35000,3,0.6266211246450742,0.0,0.6266211246450742,0.12666666666666668,0.12666666666666668
bdh,bdh/plain,76dd99c62a3e,plain,compose,interp,"{""depth"": 1}",4,37500,3,0.6273416057229042,0.0,0.6273416057229042,0.124,0.124
bdh,bdh/plain,76dd99c62a3e,plain,compose,interp,"{""depth"": 1}",4,40000,3,0.6262616614500681,0.0,0.6262616614500681,0.12333333333333334,0.12333333333333334
bdh,bdh/plain,76dd99c62a3e,plain,compose,interp,"{""depth"": 1}",8,40000,3,0.6357520160575708,0.0,0.6357520160575708,0.12333333333333334,0.12333333333333334
bdh,bdh/plain,76dd99c62a3e,plain,compose,interp,"{""depth"": 1}",16,2500,3,0.7890762388706207,0.0,0.7890762388706207,0.0006666666666666666,0.0006666666666666666
bdh,bdh/plain,76dd99c62a3e,plain,compose,interp,"{""depth"": 1}",16,5000,3,0.8103076989452044,0.0,0.8103076989452044,0.014666666666666666,0.014666666666666666
bdh,bdh/plain,76dd99c62a3e,plain,compose,interp,"{""depth"": 1}",16,7500,3,0.8641031136115392,0.0,0.8641031136115392,0.07933333333333333,0.07933333333333333
bdh,bdh/plain,76dd99c62a3e,plain,compose,interp,"{""depth"": 1}",16,10000,3,0.8162397121389707,0.0,0.8162397121389707,0.10666666666666667,0.10666666666666667
bdh,bdh/plain,76dd99c62a3e,plain,compose,interp,"{""depth"": 1}",16,12500,3,0.7477705428997675,0.0,0.7477705428997675,0.10866666666666665,0.10866666666666665
bdh,bdh/plain,76dd99c62a3e,plain,compose,interp,"{""depth"": 1}",16,15000,3,0.671786886950334,0.0,0.671786886950334,0.122,0.122
bdh,bdh/plain,76dd99c62a3e,plain,compose,interp,"{""depth"": 1}",16,17500,3,0.6473064000407854,0.0,0.6473064000407854,0.12133333333333333,0.12133333333333333
bdh,bdh/plain,76dd99c62a3e,plain,compose,interp,"{""depth"": 1}",16,20000,3,0.630707174539566,0.0,0.630707174539566,0.11466666666666665,0.11466666666666665
bdh,bdh/plain,76dd99c62a3e,plain,compose,interp,"{""depth"": 1}",16,22500,3,0.6347052802642187,0.0,0.6347052802642187,0.128,0.128
bdh,bdh/plain,76dd99c62a3e,plain,compose,interp,"{""depth"": 1}",16,25000,3,0.6289477124810219,0.0,0.6289477124810219,0.13,0.13
bdh,bdh/plain,76dd99c62a3e,plain,compose,interp,"{""depth"": 1}",16,27500,3,0.6354251330097517,0.0,0.6354251330097517,0.126,0.126
bdh,bdh/plain,76dd99c62a3e,plain,compose,interp,"{""depth"": 1}",16,30000,3,0.6281415248910586,0.0,0.6281415248910586,0.10999999999999999,0.10999999999999999
bdh,bdh/plain,76dd99c62a3e,plain,compose,interp,"{""depth"": 1}",16,32500,3,0.6257065360744795,0.0,0.6257065360744795,0.122,0.122
bdh,bdh/plain,76dd99c62a3e,plain,compose,interp,"{""depth"": 1}",16,35000,3,0.6266211246450742,0.0,0.6266211246450742,0.12666666666666668,0.12666666666666668
bdh,bdh/plain,76dd99c62a3e,plain,compose,interp,"{""depth"": 1}",16,37500,3,0.6273416057229042,0.0,0.6273416057229042,0.124,0.124
bdh,bdh/plain,76dd99c62a3e,plain,compose,interp,"{""depth"": 1}",16,40000,3,0.6262616614500681,0.0,0.6262616614500681,0.12333333333333334,0.12333333333333334
bdh,bdh/plain,76dd99c62a3e,plain,compose,interp,"{""depth"": 1}",32,40000,3,0.6357520160575708,0.0,0.6357520160575708,0.12333333333333334,0.12333333333333334
bdh,bdh/plain,76dd99c62a3e,plain,compose,interp,"{""depth"": 2}",1,2500,3,0.7871188024679819,0.0,0.7871188024679819,0.0,0.0
bdh,bdh/plain,76dd99c62a3e,plain,compose,interp,"{""depth"": 2}",1,5000,3,0.7834077576796213,0.0,0.7834077576796213,0.012666666666666666,0.012666666666666666
bdh,bdh/plain,76dd99c62a3e,plain,compose,interp,"{""depth"": 2}",1,7500,3,0.8323644250631332,0.0,0.8323644250631332,0.037333333333333336,0.037333333333333336
bdh,bdh/plain,76dd99c62a3e,plain,compose,interp,"{""depth"": 2}",1,10000,3,0.7857410113016764,0.0,0.7857410113016764,0.04933333333333334,0.04933333333333334
bdh,bdh/plain,76dd99c62a3e,plain,compose,interp,"{""depth"": 2}",1,12500,3,0.7193679884076118,0.0,0.7193679884076118,0.05933333333333333,0.05933333333333333
bdh,bdh/plain,76dd99c62a3e,plain,compose,interp,"{""depth"": 2}",1,15000,3,0.6201201826334,0.0,0.6201201826334,0.06466666666666666,0.06466666666666666
bdh,bdh/plain,76dd99c62a3e,plain,compose,interp,"{""depth"": 2}",1,17500,3,0.5991395190358162,0.0,0.5991395190358162,0.07266666666666667,0.07266666666666667
bdh,bdh/plain,76dd99c62a3e,plain,compose,interp,"{""depth"": 2}",1,20000,3,0.5983910659948984,0.0,0.5983910659948984,0.074,0.074
bdh,bdh/plain,76dd99c62a3e,plain,compose,interp,"{""depth"": 2}",1,22500,3,0.6039806753396988,0.0,0.6039806753396988,0.07733333333333332,0.07733333333333332
bdh,bdh/plain,76dd99c62a3e,plain,compose,interp,"{""depth"": 2}",1,25000,3,0.6096842090288798,0.0,0.6096842090288798,0.07733333333333332,0.07733333333333332
bdh,bdh/plain,76dd99c62a3e,plain,compose,interp,"{""depth"": 2}",1,27500,3,0.6069991514086723,0.0,0.6069991514086723,0.07133333333333333,0.07133333333333333
bdh,bdh/plain,76dd99c62a3e,plain,compose,interp,"{""depth"": 2}",1,30000,3,0.6032663658261299,0.0,0.6032663658261299,0.07933333333333333,0.07933333333333333
bdh,bdh/plain,76dd99c62a3e,plain,compose,interp,"{""depth"": 2}",1,32500,3,0.6008579035600027,0.0,0.6008579035600027,0.07733333333333334,0.07733333333333334
bdh,bdh/plain,76dd99c62a3e,plain,compose,interp,"{""depth"": 2}",1,35000,3,0.5971711203455925,0.0,0.5971711203455925,0.074,0.074
bdh,bdh/plain,76dd99c62a3e,plain,compose,interp,"{""depth"": 2}",1,37500,3,0.5962710926930109,0.0,0.5962710926930109,0.07866666666666666,0.07866666666666666
bdh,bdh/plain,76dd99c62a3e,plain,compose,interp,"{""depth"": 2}",1,40000,3,0.5953535040219625,0.0,0.5953535040219625,0.07733333333333332,0.07733333333333332
